chat_id,prompt,reply,character
415713765,"Приятель, ты бредишь?",ЧЕНДЛЕР:  Нет-нет. Я просто пытался придумать способ сказать тебе это.,ЧЕНДЛЕР
506449095,"Спасибо за поддержку, Фиби",ФИБИ:  Я не ожидал этого!,ФИБИ
584959812,Чувствуешь себя лучше?,"РОСС:  Я чувствую, что меня здесь на некоторое время не будет.",РОСС
314440785,А что ты можешь предложить?,"ДЖОУИ:  Ну, я бы сказал супергей.",ДЖОУИ
77444360,,,
334292330,Как зовут?,"ДЖОУИ:  Росс, хорошо. Так ты хочешь снова поцеловаться сегодня вечером?!",ДЖОУИ
353852664,Что ты думаешь о Тёме?,"ЧЕНДЛЕР:  Я думаю, он классный и милый.",ЧЕНДЛЕР
153419762,Свой мне песню фиб,ФИБИ:  Я написал это сегодня утром в душе.,ФИБИ
664120481,Не понял тебя,"РОСС:  Да ладно, это свидание.",РОСС
558825914,Что пожелаешь участникам смены?,"РОСС:  Ничего не надо делать. Просто будь спокойным, счастливым и здоровым.",РОСС
580389561,Что ты думаешь обо мне?,ДЖОУИ:  Я ничего не говорю. Это часть вашего решения.,ДЖОУИ
111415597,Was it count?,РОСС:  Я хочу вернуть эту кушетку!,РОСС
673807253,Привет!,"ФИБИ:  Да, но не тот парень. Тот высокий симпатичный шатен с первого этажа.",ФИБИ
758215151,Пожелай мне удачи,"РОСС:  Ладно, это не соревнование.",РОСС
442593607,/finish,"ЧЕНДЛЕР:  Ладно, я пойду и встану там.",ЧЕНДЛЕР
495269899,Купим кефир?,"ФИБИ:  Да, и если вы хотите выглядеть на 19 лет. Вы должны это услышать прямо сейчас.",ФИБИ
903616686,Дважды разведённый,РОСС:  Я был у психиатра на работе.,РОСС
501958997,привет,"ЧЕНДЛЕР:  Я не могу поверить, что пробыл здесь почти семь секунд и ни на секунду больше!",ЧЕНДЛЕР
269056560,Расскажи про палеонтологию,"РОСС:  Наука, которая занимается поиском внеземных форм жизни. Пожалуйста помогите нам! У нас нет няни.",РОСС
368191040,Привет!,"РОСС:  Да, вообще-то я хотел поговорить с тобой о Чарли.",РОСС
289249642,,,
255547109,Сколько будет два плюс два,"РОСС:  Вы знаете, мы закончили обниматься.",РОСС
137443218,Пойдешь на море?,"РОСС:  Нет, я… Я не могу сейчас с этим справиться. Мне нужно родить ребенка.",РОСС
252921081,/end,"ЧЕНДЛЕР:  Ну что ж, если мы собираемся это сделать - надо придумать какой-то приказ. Я хочу знать имя человека.",ЧЕНДЛЕР
319006708,Что ты думаешь о Полине?,"ЧЕНДЛЕР:  Я думаю, она классная. И я хочу намазать тебе голову маслом.",ЧЕНДЛЕР
925218203,Как ты относишься к Фиби?,"ЧЕНДЛЕР:  Она милая, забавная и понимает тебя. Что ж… тогда тебе лучше!",ЧЕНДЛЕР
240619990,,,
193145859,Привет!,ЧЕНДЛЕР:  О.,ЧЕНДЛЕР
267325601,хэй хэй,"ДЖОУИ:  Эй, не смотри на меня! Я просто здесь работаю.",ДЖОУИ
313360094,А почему?,"ФИБИ:  Ну, потому что это моя квартира! Я жил в НьюЙорке и никогда не снимал квартиру. И я всегда хотел жить с парнем.",ФИБИ
1434706174,,,
1293537025,Привет!,"ЧЕНДЛЕР:  Мы не попали на прослушивание, но все будет хорошо. У нас есть дом.",ЧЕНДЛЕР
81969362,Что происходит?,"ФИБИ:  Ну, просто он дал мне три билета на выставку Helmet-Pelts в музее Моргана Чейза.",ФИБИ
40864084,Да,"МОНИКА:  Я знаю, что это довольно эгоистично с моей стороны просить вас обоих переехать ко мне.",МОНИКА
424471661,Может тогда хочешь крендель?,"ЧЕНДЛЕР:  Нет-нет, ты прав. Я никогда не смогу тебе солгать.",ЧЕНДЛЕР
85069987,а едой делишься?,"ДЖОУИ:  Ну, я как бы надеялся…",ДЖОУИ
36271828,Через 15 минут,"РЕЙЧЕЛ:  Да, и я не против быть пустяком. Просто все люди во всем мире с этим согласны.",РЕЙЧЕЛ
1282116894,Привет!,"ФИБИ:  Ой, посмотрите на это.",ФИБИ
185522718,Привет!,"МОНИКА:  Я просто хочу, чтобы вы знали. Это не то же самое.",МОНИКА
240402844,,,
456574680,Он хорош?,"МОНИКА:  Ого, он действительно красный! Я имею в виду это как можно лучше. Понимаешь что к чему.",МОНИКА
646604699,Ещё,"ЧЕНДЛЕР:  Ладно, я пойду и встану там.",ЧЕНДЛЕР
248956988,Привет,"МОНИКА:  Это моя новогодняя резолюция! Я имею в виду, что собираюсь потратить все свои сбережения на это платье… ммм восемь. Понимаешь о чем я?!",МОНИКА
341126790,Окей,"ФИБИ:  Да, но вы должны знать…",ФИБИ
249457960,Бери её,"РОСС:  Возьми твою куртку, сынок. Куртка прикольного Бобби.",РОСС
920887001,сколько времени,"ЧЕНДЛЕР:  Ну, может быть это потому. Что я могу высушить феном и уложить волосы как угодно.",ЧЕНДЛЕР
357882935,Привет!,"РЕЙЧЕЛ:  Ну, знаешь что? Я думал об этом. Да ладно тебе беспокоиться о том впечатлении я произведу на тебя или твоих друзей.",РЕЙЧЕЛ
